おきます-II(Get Up),おきて,おきた,
できます-II,できて,できた,
みます-II,みて,みた,
たります-II,たりて,たりた,
おります-II,おりて,おりた,
かります-II,かりて,かりた,
あびます-II,あびて,あびた,
います-II,いて ,いた ,
おきます(put),おって,おった,
ねます,ねて,ねた,
はたらきます,はたらいて,はたらいた,
やすみます,やすんで,やすんだ,
べんきょうします,べんきょうして,べんきょうした,
おわります,おわって,おわった,
いきます,いって,いった,
きます,きて,きた,
かえります,かえって,かえった,
たべます,たべて,たべた,
のみます,のんで,のんだ,
すいます,すって,すった,
ききます,きいて,きいた,
よみます,よんで,よんだ,
かきます,かいて,かいた,
かいます,かって,かった,
とります,とって,とった,
します,して,した,
あいます,あって,あった,
たばこをすいます,たばこをすって,たばこをすった,
ともだちをあいます,ともだちをあって,ともだちをあった,
しゃしんをとります,しゃしんをとって,しゃしんをとった,
しゅくだいをします,しゅくだいをして,しゅくだいをした,
サッカーをします,サッカーをして,サッカーをした,
はなみをします,はなみをして,はなみをした,
きります,きって ,きった ,
おくります,おくって,おくった,
あげます,あげて,あげた,
もらいます,もらって,もらった,
かします,かして,かした,
おしえます,おしえて,おしえた,
ならいます,ならって,ならった,
でんわをかけます,でんわをかけて,でんわをかけた,
りょこうをします,りょこうをして,りょこうをした,
しごとをします,しごとをして,しごとをした,
わかります,わかって,わかった,
あります,あって,あった,
いります,いって,いった,
ふります,ふって,ふった,
スポーツをします,スポーツをして,スポーツをした,
やきゅうをします,やきゅうをして,やきゅうをした,
ダンスをします,ダンスをして,ダンスをした,
にほんにいます,にほんにいて,にほんにいた,
かかります,かかって,かかった,
かいしゃをやすみます,かいしゃをやすんで,かいしゃをやすんだ,
いけばなをします,いけばなをして,いけばなをした,
あそびます,あそんで,あそんだ,
およぎます,およいで,およいだ,
むかえます,むかえて,むかえた,
つかれます,つかれて,つかれた,
てがみをだします,てだみをだして,てだみをだした,
はいります,はいって,はいった,
きっさてんにはいります,きっさてんにはいって,きっさてんにはいった,
でます,でて ,でた ,
きっさてんをでます,きっさてんをでて,きっさてんをでた,
けっこんします,けっこんして,けっこんした,
かいものします,かいものして,かいものした,
しょくじします,しょくだいして,しょくだいした,
さんぽします,さんぽして,さんぽした,
こうえんをさんぽします,こうえんをさんぽして,こうえんをさんぽした,
つりをします,つりをして,つりをした,
スキーをします,スキーをして,スキーをした,
かいぎをします,かいぎをして,かいぎをした,
とうろくをします,とうろくをして,とうろくをした,
つけます,つけて,つけた,
けします,けして ,けした ,
あけます,あけて,あけた,
しめます,しめて,しめた,
いそぎます,いそいで,いそいだ,
まちます,まって,まった,
とめます,とめて,とめた,
まがります,まがって,まがった,
みぎへまがります,みぎへまがって,みぎへまがった,
もちます,もって ,もった ,
てつだいます,てつだって,てつだった,
よびます,よんで,よんだ,
はなします,はなして,はなした,
みせます,みせて,みせた,
じゅうしょをおしえます,じゅうしょをおしえて,じゅうしょをおしえた,
はじめます,はじめて,はじめた,
あめがふります,あめがふって,あめがふった,
コピーします,コピーします,コピーします,
たちます,たって,たった,
すわります,すわって,すわった,
つかいます,つかって,つかった,
つくります,つくって,つくった,
うります,うって,うった,
しります,しって ,しった ,
すみます,すんで,すんだ,
けんきゅうします,けんきゅうして,けんきゅうした,
おもいだします,おもいだして,おもいだした,
のります,のって,のった,
でんしゃにのります,でんしゃにのって,でんしゃにのった,
でんしゃをおります,でんしゃをおって,でんしゃをおった,
のりかえます,のりかえて,のりかえた,
シャワーをあびます,シャワーをあんで,シャワーをあんだ,
いれます,いれて,いれた,
だします,だして,だした,
おろします,おろして,おろした,
おかねをおろします,おかねをおろして,おかねをおろした,
だいがくにはいります,だいがくにはいって,だいがくにはいった,
だいがくをでます,だいがくをでて,だいがくをでた,
やめます,やめて,やめた,
かいしゃをやめます,かいしゃをやめて,かいしゃをやめた,
おします,おして ,おした ,
けんがくします,けんがくして,けんがくした,
でんわします,でんわして,でんわした,
ジョギングをします,ジョギングをして,ジョギングをした,
かくにんします,かくにんして,かくにんした,
おぼえます,おぼえて,おぼえた,
わすれます,わすれて,わすれた,
なくします,なくして,なくした,
レポートをだします,レポートをだして,レポートをだした,
はらいます,はらって,はらった,
かえします,かえして,かえした,
でかけます,でかけて ,でかけた ,
ぬぎます,ぬいで ,ぬいだ ,
もっていきます,もっていって ,もっていった ,
もってきます,もってきて,もってきた,
しんぱいします,しんぱいして,しんぱいした,
ざんぎょうします,ざんぎょうして,ざんぎょうした,
しゅっちょうします,しゅっちょうして,しゅっちょうした,
くすりのみます,くすりのんで,くすりのんだ,
おふろにはいります,おふろにはいって,おふろにはいった,
あらいます,あらって,あらった,
ひきます,ひいて,ひいた,
うたいます,うたって,うたった,
あつめます,あつめて,あつめた,
すてます,すてて,すてた,
かえます,かえて,かえた,
うんてんします,うんてんして,うんてんした,
よやくします,よやくして,よやくした,
けんがくします,けんがくして,けんがくした,
おいのりをします,おいのりをして,おいのりをした,
のぼります,おぼって,おぼった,
やまにのぼります,やまにのぼって,やまにのぼった,
とまります,とまって,とまった,
ホテルにとまります,ホテルにとまって,ホテルにとまった,
そうじします,そうじして,そうじした,
せんたくします,せんたくして,せんたくした,
れんしゅうします,れんしゅうして,れんしゅうした,
なります,なって,なった,
ゴルフをします,ゴルフをして,ゴルフをした,
パチンコをします,,,
ダイエットをします,ダイエットをして,ダイエットをした,
ビザがいります,ビザがいって,ビザがいった,
しらべます,しらべて,しらべた,
なおします,なおして,なおした,
しゅうりします,しゅうりして,しゅうりした,
でんわします,でんわして,でんわした,
おもいます,おもって,おもった,
いいます,いって,いった,
かちます,かって ,かった ,
まけます,まけて,まけた,
やくにたちます,やくにたって,やくにたった,
うごきます,うごいて,うごいた,
きをつけます,きをつけて,きをつけた,
りょうがくします,りょうがくして,りょうがくした,
うそをつきます,うそをついて,うそをついた,
スピーチをします,スピーチをして,スピーチをした,
ゆめをみます,ゆめをみて,ゆめをみた,
アルバイトをします,アルバイトをして,アルバイトをした,
はなします,はなして,はなした,
しゃべります,しゃべって,しゃべった,
シャツをきます,シャツをきて,シャツをきた,
はきます,はいて,はいた,
くつをはきます,くつをはいて,くつをはいた,
かぶります,かぶって,かぶった,
ぼうしをかぶります,ぼうしをかぶって,ぼうしをかぶった,
めがねをかけます,めがねをかけて,めがねをかけた,
うまれます,うまれて,うまれた,
せんせいにききます,せんせいにきいて,せんせいにきいた,
まわします,まわして,まわした,
ひきます,ひいて,ひいた,
かえます,かえて ,かえた ,
さわります,さわって,さわった,
ドアにさわります,ドアにさわって,ドアにさわった,
おつりがでます,おつりがでて,おつりがでた,
とけいがごきます,とけいがごいて,とけいがごいた,
あるきます,あるいて,あるいた,
みちをあるきます,みちをあるいて,みちをあるいた,
わたります,わたって,わたった,
はしをわたります,はしをわたって,はしをわたった,
くるまにきをつけます,くるまにきをつけて,くるまにきをつけた,
ひっこしします,ひっこしして,ひっこしした,
こしょうします,こしょうして,こしょうした,
くれます,くれて,くれた,
つれていきます,つれていって,つれていった,
つれてきます,つれてきて,つれてきた,
ひとをおくります,ひとをおくって,ひとをおくった,
しょうかいします,しょうかいして,しょうかいした,
あんないします,あんないして,あんないした,
せつめいします,せつめいして,せつめいした,
コーヒーをいれます,コーヒーをいれて,コーヒーをいれた,
じゅんびします,じゅんびして,じゅんびした,
かんがえます,かんがえて,かんがえた,
つきます,ついて ,ついた ,
えきにつきます,えきについて,えきについた,
りゅうがくします,りゅうがくして,りゅうがくした,
としをとります,としをとって,としをとった,
てんきんします,てんきんして,てんきんした,
がんばります,がんばって,がんばった,